war_phase;subphase;battle_id;allignment;state;year_start;year_end;home_lat;home_lng;battle_location;battle_lat;battle_lng;result
first_peloponnesian_war;first;skirmish_of_halieis;delian_league;athens;459;459;37,972;23,726;halieis;37,313;23,149;peloponnesian_victory
first_peloponnesian_war;first;skirmish_of_halieis;peloponnesian_league;Corinth;459;459;37,933;22,933;halieis;37,313;23,149;peloponnesian_victory
first_peloponnesian_war;first;skirmish_of_halieis;peloponnesian_league;epidaurus;459;459;37,598;23,074;halieis;37,313;23,149;peloponnesian_victory
first_peloponnesian_war;first;naval_battle_of_cecryphalea;delian_league;athens;459;459;37,972;23,726;cecryphalea;37,695;23,35;delian_victory
first_peloponnesian_war;first;naval_battle_of_cecryphalea;peloponnesian_league;peloponnes;459;459;37,356;22,352;cecryphalea;37,695;23,35;delian_victory
first_peloponnesian_war;first;siege_of_aegina;delian_league;athens;458;457;37,972;23,726;aegina;37,73;23,49;delian_victory
first_peloponnesian_war;first;siege_of_aegina;peloponnesian_league;aegina;458;457;37,73;23,49;aegina;37,73;23,49;delian_victory
first_peloponnesian_war;first;first_battle_of_megara;delian_league;megara;458;458;37,995;23,344;megara;37,995;23,344;delian_victory
first_peloponnesian_war;first;first_battle_of_megara;delian_league;athens;458;458;37,972;23,726;megara;37,995;23,344;delian_victory
first_peloponnesian_war;first;first_battle_of_megara;peloponnesian_league;corinth;458;458;37,933;22,933;megara;37,995;23,344;delian_victory
first_peloponnesian_war;first;battle_of_tanagra;delian_league;athens;457;457;37,972;23,726;tanagra;38,328;23,538;peloponnesian_victory
first_peloponnesian_war;first;battle_of_tanagra;delian_league;argos;457;457;37,633;22,729;tanagra;38,328;23,538;peloponnesian_victory
first_peloponnesian_war;first;battle_of_tanagra;delian_league;thessaly;457;457;39,656;22,501;tanagra;38,328;23,538;peloponnesian_victory
first_peloponnesian_war;first;battle_of_tanagra;peloponnesian_league;sparta;457;457;37,082;22,424;tanagra;38,328;23,538;peloponnesian_victory
first_peloponnesian_war;first;battle_of_tanagra;peloponnesian_league;peloponnes;457;457;37,356;22,352;tanagra;38,328;23,538;peloponnesian_victory
first_peloponnesian_war;first;battle_of_oenophyta;delian_league;athens;457;457;37,972;23,726;oenophyta;38,305;23,631;delian_victory
first_peloponnesian_war;first;battle_of_oenophyta;boeotian_league;thebes;457;457;38,317;23,317;oenophyta;38,305;23,631;delian_victory
first_peloponnesian_war;tolmides_naval_expidition;siege_of_methone;delian_league;athens;456;456;37,972;23,726;methone;36,822;21,707;peloponnesian_victory
first_peloponnesian_war;tolmides_naval_expidition;siege_of_methone;peloponnesian_league;sparta;456;456;37,082;22,424;methone;36,822;21,707;peloponnesian_victory
first_peloponnesian_war;tolmides_naval_expidition;plundering_of_gytheion;delian_league;athens;456;456;37,972;23,726;gytheion;36,762;22,565;delian_victory
first_peloponnesian_war;tolmides_naval_expidition;attack_on_chalcis;delian_league;athens;456;456;37,972;23,726;chalcis;38,349;21,614;delian_victory
first_peloponnesian_war;tolmides_naval_expidition;attack_on_naupactus;delian_league;athens;456;456;37,972;23,726;naupactus;38,394;21,831;delian_victory
first_peloponnesian_war;tolmides_naval_expidition;tolmides_attack_on_sicyon;delian_league;athens;456;456;37,972;23,726;sicyon;37,984;22,711;delian_victory
first_peloponnesian_war;tolmides_naval_expidition;tolmides_attack_on_sicyon;peloponnesian_league;sicyon;456;456;37,984;22,711;sicyon;37,984;22,711;delian_victory
first_peloponnesian_war;pericles_corinthian_campaign;pericles_attack_on_sicyon;delian_league;athens;455;455;37,972;23,726;sicyon;37,984;22,711;delian_victory
first_peloponnesian_war;pericles_corinthian_campaign;pericles_attack_on_sicyon;peloponnesian_league;sicyon;455;455;37,984;22,711;sicyon;37,984;22,711;delian_victory
first_peloponnesian_war;pericles_corinthian_campaign;attack_on_oeniadae;delian_league;athens;455;455;37,972;23,726;oeniadae;38,408;21,197;peloponnesian_victory
first_peloponnesian_war;pericles_corinthian_campaign;attack_on_oeniadae;peloponnesian_league;oeniadae;455;455;38,408;21,197;oeniadae;38,408;21,197;peloponnesian_victory
first_peloponnesian_war;first;battle_of_coronea;delian_league;athens;447;447;37,972;23,726;coronea;38,393;22,957;boeotian_victory
first_peloponnesian_war;first;battle_of_coronea;boeotian_league;orchomenus;447;447;38,483;22,983;coronea;38,393;22,957;boeotian_victory
first_peloponnesian_war;first;battle_of_coronea;boeotian_league;locris;447;447;38,394;21,831;coronea;38,393;22,957;boeotian_victory
first_peloponnesian_war;first;battle_of_coronea;boeotian_league;euboia;447;447;38,526;23,792;coronea;38,393;22,957;boeotian_victory
first_peloponnesian_war;first;euboian_revolt;delian_league;athens;446;446;37,972;23,726;euboia;38,553;23,811;delian_victory
first_peloponnesian_war;first;euboian_revolt;other;euboia;446;446;38,553;23,811;euboia;38,553;23,811;delian_victory
first_peloponnesian_war;first;megaran_revolt;other;megara;446;446;37,995;23,344;megara;37,995;23,344;megaran_victory
first_peloponnesian_war;first;megaran_revolt;peloponnesian_league;Corinth;446;446;37,933;22,933;megara;37,995;23,344;megaran_victory
first_peloponnesian_war;first;megaran_revolt;peloponnesian_league;sicyon;446;446;37,984;22,711;megara;37,995;23,344;megaran_victory
first_peloponnesian_war;first;megaran_revolt;peloponnesian_league;epidaurus;446;446;37,598;23,074;megara;37,995;23,344;megaran_victory
first_peloponnesian_war;first;invasion_of_attica;peloponnesian_league;peloponnes;446;446;37,356;22,352;eleusis;38,043;23,539;
second_peloponnesian_war;archidamean_war;siege_of_potidaea;delian_league;athens;432;429;37,972;23,726;potidaea;40,194;23,328;delian_victory
second_peloponnesian_war;archidamean_war;siege_of_potidaea;other;macedon;432;429;40,479;22,325;potidaea;40,194;23,328;delian_victory
second_peloponnesian_war;archidamean_war;siege_of_potidaea;peloponnesian_league;Corinth;432;429;37,933;22,933;potidaea;40,194;23,328;delian_victory
second_peloponnesian_war;archidamean_war;siege_of_potidaea;peloponnesian_league;potidaea;432;429;40,194;23,328;potidaea;40,194;23,328;delian_victory
second_peloponnesian_war;archidamean_war;attack_on_plataea;delian_league;plataea;431;431;38,221;23,274;plataea;38,221;23,274;delian_victory
second_peloponnesian_war;archidamean_war;attack_on_plataea;boeotian_league;thebes;431;431;38,317;23,317;plataea;38,221;23,274;delian_victory
second_peloponnesian_war;archidamean_war;first_invasion_of_attica;peloponnesian_league;sparta;431;431;37,082;22,424;attica;38,088;23,734;
second_peloponnesian_war;archidamean_war;first_invasion_of_attica;peloponnesian_league;peloponnes;431;431;37,356;22,352;attica;38,088;23,734;
second_peloponnesian_war;archidamean_war;second_invasion_of_attica;peloponnesian_league;sparta;430;430;37,082;22,424;attica;38,088;23,734;
second_peloponnesian_war;archidamean_war;second_invasion_of_attica;peloponnesian_league;peloponnes;430;430;37,356;22,352;attica;38,088;23,734;
second_peloponnesian_war;archidamean_war;siege_of_plataea;delian_league;athens;429;427;37,972;23,726;plataea;38,221;23,274;peloponnesian_victory
second_peloponnesian_war;archidamean_war;siege_of_plataea;delian_league;plataea;429;427;38,221;23,274;plataea;38,221;23,274;peloponnesian_victory
second_peloponnesian_war;archidamean_war;siege_of_plataea;peloponnesian_league;sparta;429;427;37,082;22,424;plataea;38,221;23,274;peloponnesian_victory
second_peloponnesian_war;archidamean_war;battle_of_spartolus;delian_league;athens;429;429;37,972;23,726;spartolus;40,316;23,16;chalcidian_victory
